measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2010-01-01,388.05400000000003,4146.0,4146.0,296.071,3164.0,3164.0,244.03300000000002,2607.0,2607.0
2010-02-01,343.212,3667.0,3667.0,273.34200000000004,2920.0,2920.0,215.833,2306.0,2306.0
2010-03-01,333.72900000000004,3565.0,3565.0,291.089,3110.0,3110.0,209.869,2242.0,2242.0
2010-04-01,345.38800000000003,3690.0,3690.0,245.186,2619.0,2619.0,217.20100000000002,2320.0,2320.0
2010-05-01,352.648,3767.0,3767.0,178.585,1907.0,1907.0,221.76600000000002,2369.0,2369.0
2010-06-01,397.356,4245.0,4245.0,166.703,1781.0,1781.0,249.881,2669.0,2669.0
2010-07-01,415.23900000000003,4436.0,4436.0,275.20500000000004,2940.0,2940.0,261.128,2789.0,2789.0
2010-08-01,417.733,4462.0,4462.0,324.844,3470.0,3470.0,262.696,2806.0,2806.0
2010-09-01,394.01,4209.0,4209.0,301.015,3215.0,3215.0,247.77700000000002,2647.0,2647.0
2010-10-01,376.22400000000005,4019.0,4019.0,337.93600000000004,3610.0,3610.0,236.592,2528.0,2528.0
2010-11-01,397.78000000000003,4249.0,4249.0,284.575,3040.0,3040.0,250.14800000000002,2672.0,2672.0
2010-12-01,369.461,3947.0,3947.0,266.591,2848.0,2848.0,232.34,2482.0,2482.0
2011-01-01,276.012,4611.0,4611.0,167.41,2798.0,2798.0,292.759,4891.0,4891.0
2011-02-01,274.974,4594.0,4594.0,165.082,2758.0,2758.0,291.658,4873.0,4873.0
2011-03-01,291.676,4873.0,4873.0,131.311,2194.0,2194.0,309.373,5169.0,5169.0
2011-04-01,276.671,4622.0,4622.0,111.886,1869.0,1869.0,293.458,4903.0,4903.0
2011-05-01,291.398,4868.0,4868.0,99.828,1668.0,1668.0,309.078,5164.0,5164.0
2011-06-01,282.985,4728.0,4728.0,111.095,1856.0,1856.0,300.154,5015.0,5015.0
2011-07-01,298.805,4992.0,4992.0,178.113,2976.0,2976.0,316.934,5295.0,5295.0
2011-08-01,304.982,5095.0,5095.0,218.68,3653.0,3653.0,323.486,5404.0,5404.0
2011-09-01,291.001,4862.0,4862.0,221.994,3709.0,3709.0,308.657,5157.0,5157.0
2011-10-01,277.252,4632.0,4632.0,177.797,2970.0,2970.0,294.073,4913.0,4913.0
2011-11-01,274.197,4581.0,4581.0,175.286,2928.0,2928.0,290.833,4859.0,4859.0
2011-12-01,276.145,4614.0,4614.0,228.058,3810.0,3810.0,292.899,4893.0,4893.0
2012-01-01,370.832,4537.0,4537.0,235.778,2884.0,2884.0,180.306,2206.0,2206.0
2012-02-01,365.113,4467.0,4467.0,235.76,2885.0,2885.0,177.526,2172.0,2172.0
2012-03-01,350.129,4284.0,4284.0,224.236,2744.0,2744.0,170.24,2083.0,2083.0
2012-04-01,328.953,4025.0,4025.0,207.761,2542.0,2542.0,159.944,1957.0,1957.0
2012-05-01,341.179,4174.0,4174.0,206.31,2525.0,2525.0,165.889,2030.0,2030.0
2012-06-01,296.044,3622.0,3622.0,218.414,2672.0,2672.0,143.943,1761.0,1761.0
2012-07-01,318.924,3902.0,3902.0,258.315,3161.0,3161.0,155.068,1897.0,1897.0
2012-08-01,368.793,4512.0,4512.0,340.143,4162.0,4162.0,179.315,2194.0,2194.0
2012-09-01,362.859,4440.0,4440.0,309.001,3781.0,3781.0,176.43,2158.0,2158.0
2012-10-01,364.216,4456.0,4456.0,285.931,3499.0,3499.0,177.09,2167.0,2167.0
2012-11-01,398.302,4873.0,4873.0,246.878,3020.0,3020.0,193.663,2370.0,2370.0
2012-12-01,399.146,4884.0,4884.0,232.896,2850.0,2850.0,194.073,2375.0,2375.0
2013-01-01,344.645,4363.0,4363.0,253.611,3212.0,3212.0,162.03,2051.0,2051.0
2013-02-01,310.487,3931.0,3931.0,233.616,2957.0,2957.0,145.971,1848.0,1848.0
2013-03-01,333.561,4222.0,4222.0,225.309,2852.0,2852.0,156.82,1985.0,1985.0
2013-04-01,302.736,3832.0,3832.0,193.879,2454.0,2454.0,142.328,1802.0,1802.0
2013-05-01,335.8,4251.0,4251.0,204.751,2592.0,2592.0,157.872,1999.0,1999.0
2013-06-01,327.008,4140.0,4140.0,242.235,3066.0,3066.0,153.739,1946.0,1946.0
2013-07-01,336.292,4257.0,4257.0,307.37,3891.0,3891.0,158.104,2001.0,2001.0
