measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-01-01,,,,,,,975.573,11463.0,11463.0
2013-02-01,,,,,,,808.655,9503.0,9503.0
2013-03-01,,,,,,,793.782,9328.0,9328.0
2013-04-01,,,,,,,1063.841,12501.0,12501.0
2013-05-01,,,,,,,1432.706,16835.0,16835.0
2013-06-01,,,,,,,1403.513,16493.0,16493.0
2013-07-01,,,,,,,1319.186,15502.0,15502.0
2013-08-01,,,,,,,1277.75,15015.0,15015.0
2013-09-01,,,,,,,1252.67,14720.0,14720.0
2013-10-01,,,,,,,1208.008,14195.0,14195.0
2013-11-01,,,,,,,1235.465,14518.0,14518.0
2013-12-01,,,,,,,1292.851,15192.0,15192.0
2014-01-01,,,,,,,1003.503,11547.0,11547.0
2014-02-01,,,,,,,1113.007,12807.0,12807.0
2014-03-01,,,,,,,1156.844,13312.0,13312.0
2014-04-01,,,,,,,1163.361,13387.0,13387.0
2014-05-01,,,,,,,1082.894,12461.0,12461.0
2014-06-01,,,,,,,1069.628,12308.0,12308.0
2014-07-01,,,,,,,1152.422,13261.0,13261.0
2014-08-01,,,,,,,957.727,11021.0,11021.0
2014-09-01,,,,,,,826.36,9509.0,9509.0
2014-10-01,,,,,,,768.917,8848.0,8848.0
2014-11-01,,,,,,,752.233,8656.0,8656.0
