measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2012-01-01,5587.585,59420.0,59420.0,,,
2012-02-01,5203.834,55339.0,55339.0,,,
2012-03-01,5391.176,57331.0,57331.0,,,
2012-04-01,5111.344,54355.0,54355.0,,,
2012-05-01,5783.729,61505.0,61505.0,,,
2012-06-01,5610.481,59663.0,59663.0,,,
2012-07-01,5617.283,59736.0,59736.0,,,
2012-08-01,5460.749,58071.0,58071.0,,,
2012-09-01,5582.085,59361.0,59361.0,,,
2012-10-01,5084.816,54073.0,54073.0,,,
2012-11-01,3938.219,41880.0,41880.0,,,
2012-12-01,5357.699,56975.0,56975.0,,,
2013-01-01,4414.971,46275.0,46275.0,,,
2013-02-01,4043.775,42384.0,42384.0,,,
2013-03-01,5012.357,52536.0,52536.0,,,
2013-04-01,4794.911,50257.0,50257.0,,,
2013-05-01,4798.822,50298.0,50298.0,,,
2013-06-01,4645.176,48688.0,48688.0,,,
2013-07-01,5047.734,52907.0,52907.0,,,
2013-08-01,5210.078,54608.0,54608.0,,,
2013-09-01,4887.092,51223.0,51223.0,,,
2013-10-01,5092.673,53378.0,53378.0,,,
2013-11-01,4966.078,52051.0,52051.0,,,
2013-12-01,5279.333,55334.0,55334.0,,,
2014-01-01,3974.533,42904.0,42904.0,0.51,5.0,5.0
2014-02-01,3887.242,41961.0,41961.0,0.559,6.0,6.0
2014-03-01,4239.519,45764.0,45764.0,0.596,6.0,6.0
2014-04-01,4301.744,46436.0,46436.0,0.503,5.0,5.0
2014-05-01,4376.987,47248.0,47248.0,0.502,5.0,5.0
2014-06-01,4594.044,49591.0,49591.0,0.606,6.0,6.0
2014-07-01,4314.477,46573.0,46573.0,0.931,10.0,10.0
2014-08-01,4575.552,49392.0,49392.0,0.823,9.0,9.0
2014-09-01,4594.985,49601.0,49601.0,0.791,8.0,8.0
2014-10-01,4678.253,50500.0,50500.0,0.729,8.0,8.0
2014-11-01,4403.187,47531.0,47531.0,0.718,7.0,7.0
2014-12-01,4725.48,51010.0,51010.0,0.729,8.0,8.0
2015-01-01,3805.253,42429.0,42429.0,147.621,1644.0,1644.0
2015-02-01,2976.858,33193.0,33193.0,130.042,1450.0,1450.0
2015-03-01,3179.587,35453.0,35453.0,178.986,1996.0,1996.0
2015-04-01,3257.002,36316.0,36316.0,139.481,1556.0,1556.0
2015-05-01,3523.487,39287.0,39287.0,185.912,2073.0,2073.0
2015-06-01,3778.134,42127.0,42127.0,187.48,2090.0,2090.0
2015-07-01,4042.883,45079.0,45079.0,228.69,2550.0,2550.0
2015-08-01,4047.14,45126.0,45126.0,223.987,2498.0,2498.0
2015-09-01,3818.089,42572.0,42572.0,226.645,2528.0,2528.0
2015-10-01,4174.831,46550.0,46550.0,189.641,2114.0,2114.0
2015-11-01,3877.673,43237.0,43237.0,189.897,2118.0,2118.0
