measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2003-01-01,2090.736,20319.0,20319.0,,,,,,,,,
2003-02-01,1852.159,18001.0,18001.0,,,,,,,,,
2003-03-01,1913.01,18592.0,18592.0,,,,,,,,,
2003-04-01,1679.833,16326.0,16326.0,,,,,,,,,
2003-05-01,1648.592,16022.0,16022.0,,,,,,,,,
2003-06-01,1568.72,15246.0,15246.0,,,,,,,,,
2003-07-01,1678.921,16317.0,16317.0,,,,,,,,,
2003-08-01,1607.404,15622.0,15622.0,,,,,,,,,
2003-09-01,1719.351,16710.0,16710.0,,,,,,,,,
2003-10-01,1853.428,18013.0,18013.0,,,,,,,,,
2003-11-01,1944.7910000000002,18901.0,18901.0,,,,,,,,,
2003-12-01,2172.055,21110.0,21110.0,,,,,,,,,
2004-01-01,1854.939,18087.0,18087.0,,,,,,,,,
2004-02-01,2399.415,23396.0,23396.0,,,,,,,,,
2004-03-01,2153.387,20997.0,20997.0,,,,,,,,,
2004-04-01,1460.1090000000002,14237.0,14237.0,,,,,,,,,
2004-05-01,1583.4260000000002,15439.0,15439.0,,,,,,,,,
2004-06-01,1520.982,14831.0,14831.0,,,,,,,,,
2004-07-01,2422.243,23619.0,23619.0,,,,,,,,,
2004-08-01,2564.28,25003.0,25003.0,,,,,,,,,
2004-09-01,2088.286,20362.0,20362.0,,,,,,,,,
2004-10-01,1527.367,14893.0,14893.0,,,,,,,,,
2004-11-01,887.7330000000001,8656.0,8656.0,,,,,,,,,
2004-12-01,859.8330000000001,8384.0,8384.0,,,,,,,,,
2005-01-01,3372.6890000000003,33093.99,33093.99,,,,,,,23.077,230.75,230.75
2005-02-01,1158.748,11370.04,11370.04,,,,,,,30.398,303.95,303.95
2005-03-01,1284.328,12602.27,12602.27,,,,,,,45.184000000000005,451.8,451.8
2005-04-01,1555.6860000000001,15264.93,15264.93,,,,,,,45.727000000000004,457.22,457.22
2005-05-01,1444.836,14177.23,14177.23,,,,,,,48.58,485.75,485.75
2005-06-01,1875.257,18400.67,18400.67,,,,,,,41.221000000000004,412.17,412.17
2005-07-01,1908.7810000000002,18729.62,18729.62,,,,,,,28.183,281.8,281.8
2005-08-01,2242.356,22002.78,22002.78,,,,,,,25.361,253.58,253.58
2005-09-01,1467.8680000000002,14403.23,14403.23,,,,,,,53.495,534.9,534.9
2005-10-01,1630.0890000000002,15995.0,15995.0,,,,,,,70.917,709.09,709.09
2005-11-01,1310.45,12858.59,12858.59,,,,,,,97.489,974.79,974.79
2005-12-01,2770.913,27189.16,27189.16,,,,,,,79.36800000000001,793.6,793.6
2006-01-01,2597.754,24524.0,24524.0,,,,,,,87.028,863.0,863.0
2006-02-01,1359.323,12833.0,12833.0,,,,,,,70.747,702.0,702.0
2006-03-01,1141.844,10780.0,10780.0,,,,,,,72.251,717.0,717.0
2006-04-01,2187.252,20649.0,20649.0,,,,,,,72.61200000000001,720.0,720.0
2006-05-01,2044.53,19301.0,19301.0,,,,,,,68.34,678.0,678.0
2006-06-01,1858.336,17544.0,17544.0,,,,,,,45.852000000000004,455.0,455.0
2006-07-01,2691.844,25412.0,25412.0,,,,,,,46.764,464.0,464.0
2006-08-01,2611.074,24650.0,24650.0,,,,,,,40.473,401.0,401.0
2006-09-01,1199.569,11325.0,11325.0,,,,,,,49.417,490.0,490.0
2006-10-01,1267.133,11962.0,11962.0,,,,,,,70.143,696.0,696.0
2006-11-01,1492.088,14086.0,14086.0,,,,,,,79.212,786.0,786.0
