measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2012-01-01,,,,,,,6441.508,83946.0,83946.0,598.922,0.0,0.0
2012-02-01,,,,,,,6441.019,83941.0,83941.0,598.877,0.0,0.0
2012-03-01,,,,,,,6126.182,79838.0,79838.0,569.604,0.0,0.0
2012-04-01,,,,,,,5676.064,73972.0,73972.0,527.752,0.0,0.0
2012-05-01,,,,,,,5636.443,73455.0,73455.0,524.068,0.0,0.0
2012-06-01,,,,,,,5967.13,77765.0,77765.0,554.815,0.0,0.0
2012-07-01,,,,,,,7057.222,91972.0,91972.0,656.17,0.0,0.0
2012-08-01,,,,,,,9292.794,121106.0,121106.0,864.031,0.0,0.0
2012-09-01,,,,,,,8441.963,110018.0,110018.0,784.922,0.0,0.0
2012-10-01,,,,,,,7811.685,101804.0,101804.0,726.319,0.0,0.0
2012-11-01,,,,,,,6744.754,87899.0,87899.0,627.118,0.0,0.0
2012-12-01,,,,,,,6362.776,82921.0,82921.0,591.602,0.0,0.0
2013-01-01,6973.0,78334.0,78334.0,633.0,0.0,0.0,6763.596,87736.0,87736.0,,,
