measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2001-01-01,,,,80.51,784.0,995.0,,,
2001-02-01,,,,521.86,4713.0,5312.0,,,
2001-03-01,,,,2687.87,22467.0,23847.0,,,
2001-04-01,,,,3211.67,27329.0,29631.0,,,
2001-05-01,,,,8491.38,71579.0,73338.0,,,
2001-06-01,,,,11677.83,97146.0,98782.0,,,
2001-07-01,,,,18608.48,148458.0,151141.0,,,
2001-08-01,,,,41023.24,335222.0,340121.0,,,
2001-09-01,,,,10034.65,86265.0,87761.0,,,
2001-10-01,,,,4030.35,34705.0,36160.0,,,
2001-11-01,,,,1200.86,10092.0,11032.0,,,
2001-12-01,,,,558.72,5338.0,5910.0,,,
2002-01-01,,,,2619.97,23681.0,24168.0,,,
2002-02-01,,,,1726.6,16120.0,16925.0,,,
2002-03-01,,,,672.21,6027.0,6381.0,,,
2002-04-01,,,,3575.42,18777.0,31964.0,,,
2002-05-01,,,,507.31,4193.0,5014.0,,,
2002-06-01,,,,6243.89,52252.0,53458.0,,,
2002-07-01,,,,29829.0,239289.0,243460.0,,,
2002-08-01,,,,23922.14,196331.0,199971.0,,,
2002-09-01,,,,16377.48,136836.0,138923.0,,,
2002-10-01,,,,0.0,0.0,0.0,,,
2002-11-01,,,,14308.47,119166.0,125676.0,,,
2002-12-01,,,,5269.04,44862.0,47901.0,,,
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,0.0,0.0,0.0,1222.685,10522.0,11155.0,,,
2003-04-01,0.0,0.0,0.0,1402.135,12253.0,13494.0,,,
2003-05-01,0.0,0.0,0.0,1400.1950000000002,12314.5,12785.5,,,
2003-06-01,0.0,0.0,0.0,1930.7849999999999,16361.0,16608.5,,,
