measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,38761.0,446908.0,446908.0,167.0,2169.0,2169.0,,,
2003-02-01,13711.0,167222.0,167222.0,291.0,3990.0,3990.0,,,
2003-03-01,41482.0,470555.0,470555.0,169.0,2100.0,2100.0,,,
2003-04-01,39384.0,452271.0,452271.0,123.0,1543.0,1543.0,,,
2003-05-01,33258.0,371056.0,371056.0,115.0,1421.0,1421.0,,,
2003-06-01,34302.0,373072.0,373072.0,116.0,1392.0,1392.0,,,
2003-07-01,42108.0,493765.0,493765.0,83.0,1067.0,1067.0,,,
2003-08-01,33725.0,389158.0,389158.0,136.0,1769.0,1769.0,313.0,6383.0,6383.0
2003-09-01,22453.0,289184.0,289184.0,218.0,3091.0,3091.0,545.0,11889.0,11889.0
2003-10-01,35276.0,407560.0,407560.0,181.0,2283.0,2283.0,190.0,3619.0,3619.0
2003-11-01,33226.0,397444.0,397444.0,108.0,1434.0,1434.0,400.0,7659.0,7659.0
2003-12-01,31564.0,363385.0,363385.0,114.0,1457.0,1457.0,0.0,0.0,0.0
2004-01-01,38663.0,451954.0,451954.0,64.0,820.0,820.0,0.0,0.0,0.0
2004-02-01,35008.0,404984.0,404984.0,183.0,2319.0,2319.0,0.0,0.0,0.0
2004-03-01,25084.0,292923.0,292923.0,183.0,2319.0,2319.0,0.0,0.0,0.0
2004-04-01,32677.0,386174.0,386174.0,138.0,1728.0,1728.0,0.0,0.0,0.0
2004-05-01,29050.0,359925.0,359925.0,95.0,1253.0,1253.0,130.0,2565.0,2565.0
2004-06-01,12123.0,154008.0,154008.0,159.0,2169.0,2169.0,126.0,2565.0,2565.0
2004-07-01,27804.0,343722.0,343722.0,116.0,1552.0,1552.0,187.0,3709.0,3709.0
2004-08-01,11803.0,143091.0,143091.0,149.0,1941.0,1941.0,0.0,0.0,0.0
2004-09-01,10025.0,131086.0,131086.0,73.0,1015.0,1015.0,0.0,0.0,0.0
2004-10-01,30342.0,349826.0,349826.0,167.0,2059.0,2059.0,0.0,0.0,0.0
2004-11-01,15365.0,183175.0,183175.0,98.0,1264.0,1264.0,0.0,0.0,0.0
2004-12-01,44156.0,515731.0,515731.0,109.0,1369.0,1369.0,0.0,0.0,0.0
2005-01-01,47916.0,546933.8,546933.8,277.0,3439.4,3439.4,0.0,0.0,0.0
2005-02-01,8937.0,113482.0,113482.0,126.0,1722.6,1722.6,0.0,0.0,0.0
2005-03-01,30669.0,369784.8,369784.8,107.0,1362.3,1362.3,0.0,0.0,0.0
2005-04-01,9879.0,113758.0,113758.0,204.0,2528.8,2528.8,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
