measured_on,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,,,,,,,71.0,1451.0,1451.0,286.0,3130.0,3130.0,0.0,0.0,0.0,300132.0,3280141.0,3280141.0
2003-02-01,,,,,,,56.0,1291.0,1291.0,317.0,3588.0,3588.0,0.0,0.0,0.0,218846.0,2479904.0,2479904.0
2003-03-01,,,,,,,,,,575.0,6351.0,6351.0,0.0,0.0,0.0,185076.0,2037661.0,2037661.0
2003-04-01,,,,,,,0.0,0.0,0.0,78.0,936.0,936.0,0.0,0.0,0.0,304102.0,3270893.0,3270893.0
2003-05-01,,,,,,,0.0,0.0,0.0,738.0,8855.0,8855.0,0.0,0.0,0.0,215033.0,2356745.0,2356745.0
2003-06-01,,,,,,,374.0,7349.0,7349.0,258.0,3015.0,3015.0,0.0,0.0,0.0,250734.0,2672426.0,2672426.0
2003-07-01,,,,,,,43.0,810.0,810.0,432.0,3719.0,3719.0,0.0,0.0,0.0,242772.0,2712482.0,2712482.0
2003-08-01,,,,,,,104.0,2092.0,2092.0,108.0,923.0,923.0,0.0,0.0,0.0,299443.0,3285184.0,3285184.0
2003-09-01,,,,,,,9.0,259.0,259.0,5230.0,45942.0,45942.0,0.0,0.0,0.0,63287.0,689678.0,689678.0
2003-10-01,,,,,,,23.0,514.0,514.0,39985.0,519229.0,519229.0,0.0,0.0,0.0,1000.0,16104.0,16104.0
2003-11-01,,,,,,,48.0,825.0,825.0,3370.0,26091.0,26091.0,0.0,0.0,0.0,89118.0,855998.0,855998.0
2003-12-01,,,,,,,55.0,911.0,911.0,72.0,584.0,584.0,0.0,0.0,0.0,81882.0,820952.0,820952.0
2004-01-01,,,,133948.0,1548291.0,1548291.0,9.0,98.0,98.0,1507.0,13561.0,13561.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,,,,305964.0,3161632.0,3161632.0,72.0,1646.0,1646.0,20.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,,,,284710.0,2953844.0,2953844.0,0.0,0.0,0.0,380.0,3071.0,3071.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,,,,250463.0,2583758.0,2583758.0,0.0,0.0,0.0,562.0,4466.0,4466.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,,,,304004.0,3232647.0,3232647.0,42.0,785.0,785.0,583.0,4699.0,4699.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,,,,261853.0,2853931.0,2853931.0,47.0,924.0,924.0,313.0,2592.0,2592.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,,,,273490.0,2986731.0,2986731.0,39.0,792.0,792.0,437.0,3676.0,3676.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,,,,275352.0,2907086.0,2907086.0,18.0,392.0,392.0,60.0,501.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,,,,233529.0,2422560.0,2422560.0,38.0,843.0,843.0,221.0,1804.0,1804.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,,,,209298.0,2152285.0,2152285.0,0.0,0.0,0.0,442.0,3572.0,3572.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,,,,276263.0,2815900.0,2815900.0,58.0,3624.0,3624.0,180.0,1478.0,1478.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,,,,284918.0,2864202.0,2864202.0,0.0,0.0,0.0,205.0,1643.0,1643.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,,,,250677.0,2812470.77,2812470.77,63.0,1801.37,1801.37,1003.0,8477.5,8477.5,0.0,0.0,0.0,,,
2005-02-01,,,,192249.0,2087526.0,2087526.0,0.0,0.0,0.0,325.0,2746.21,2746.21,0.0,0.0,0.0,,,
2005-03-01,,,,228830.0,2446221.77,2446221.77,229.0,3022.16,3022.16,372.0,3110.99,3110.99,0.0,0.0,0.0,,,
2005-04-01,,,,103488.0,1139122.94,1139122.94,118.0,2040.04,2040.04,115.0,968.05,968.05,0.0,0.0,0.0,,,
2005-05-01,,,,115297.0,1289183.21,1289183.21,0.0,0.0,0.0,1224.0,10460.86,10460.86,0.0,0.0,0.0,,,
2005-06-01,,,,265176.0,2809156.55,2809156.55,429.0,8586.42,8586.42,316.0,2507.28,2507.28,0.0,0.0,0.0,,,
2005-07-01,,,,285162.0,3061947.78,3061947.78,286.0,4775.96,4775.96,279.0,3069.4,3069.4,0.0,0.0,0.0,,,
2005-08-01,,,,295463.0,3211447.01,3211447.01,234.0,4441.32,4441.32,166.0,1820.13,1820.13,0.0,0.0,0.0,,,
2005-09-01,,,,192208.0,2118614.46,2118614.46,44.0,859.98,859.98,239.0,2685.5,2685.5,0.0,0.0,0.0,,,
2005-10-01,,,,308037.0,3259860.62,3259860.62,54.0,918.58,918.58,76.0,823.17,823.17,0.0,0.0,0.0,,,
2005-11-01,,,,226385.0,2404055.24,2404055.24,0.0,0.0,0.0,433.0,4624.85,4624.85,0.0,0.0,0.0,,,
2005-12-01,,,,231473.0,2526224.75,2526224.75,71.0,1328.32,1328.32,916.0,10202.85,10202.85,0.0,0.0,0.0,,,
2006-01-01,,,,274015.0,2956050.0,2956050.0,46.0,856.0,856.0,176.0,1934.0,1934.0,0.0,0.0,0.0,,,
2006-02-01,,,,213207.0,2262896.0,2262896.0,12.0,125.0,125.0,282.0,3072.0,3072.0,0.0,0.0,0.0,,,
2006-03-01,,,,256939.0,2793240.0,2793240.0,95.0,1756.0,1756.0,301.0,3364.0,3364.0,0.0,0.0,0.0,,,
2006-04-01,,,,131066.0,1423207.0,1423207.0,0.0,0.0,0.0,153.0,1663.0,1663.0,0.0,0.0,0.0,,,
2006-05-01,,,,119369.0,1304103.0,1304103.0,36.0,717.0,717.0,380.0,4140.0,4140.0,0.0,0.0,0.0,,,
2006-06-01,,,,156000.0,1672290.0,1672290.0,39.0,773.0,773.0,549.0,5819.0,5819.0,0.0,0.0,0.0,,,
2006-07-01,,,,239272.0,2563455.0,2563455.0,186.0,4574.0,4574.0,458.0,4859.0,4859.0,0.0,0.0,0.0,,,
2006-08-01,,,,284865.0,2982463.0,2982463.0,210.0,4251.0,4251.0,327.0,3396.0,3396.0,0.0,0.0,0.0,,,
2006-09-01,,,,43177.0,568577.0,568577.0,54.0,935.0,935.0,325.0,4264.0,4264.0,0.0,0.0,0.0,,,
2006-10-01,,,,89232.0,1019443.0,1019443.0,68.0,1112.0,1112.0,229.0,2561.0,2561.0,0.0,0.0,0.0,,,
2006-11-01,,,,77943.0,884629.0,884629.0,51.0,954.0,954.0,41.0,449.0,449.0,0.0,0.0,0.0,,,
2006-12-01,,,,255057.0,2737720.0,2737720.0,66.0,1093.0,1093.0,230.0,2491.0,2491.0,0.0,0.0,0.0,,,
2007-01-01,,,,223416.187,2441797.0,2441797.0,0.0,0.0,0.0,345.813,3780.0,3780.0,0.0,0.0,0.0,,,
2007-02-01,,,,159861.77,1785239.0,1785239.0,0.0,0.0,0.0,555.23,6200.0,6200.0,0.0,0.0,0.0,,,
2007-03-01,,,,178644.601,1944475.0,1944475.0,0.0,0.0,0.0,158.399,1724.0,1724.0,0.0,0.0,0.0,,,
2007-04-01,,,,201275.177,2149834.0,2149834.0,0.0,0.0,0.0,108.82300000000001,1162.0,1162.0,0.0,0.0,0.0,,,
2007-05-01,,,,10442.582,176821.0,176821.0,0.0,0.0,0.0,410.418,6950.0,6950.0,0.0,0.0,0.0,,,
2007-06-01,,,,238341.46600000001,2604592.0,2604592.0,0.0,0.0,0.0,835.534,9131.0,9131.0,0.0,0.0,0.0,,,
2007-07-01,,,,231106.209,2626825.0,2626825.0,0.0,0.0,0.0,832.791,9466.0,9466.0,0.0,0.0,0.0,,,
2007-08-01,,,,305138.359,3489835.0,3489835.0,0.0,0.0,0.0,982.6410000000001,11238.0,11238.0,0.0,0.0,0.0,,,
2007-09-01,,,,285308.744,3124018.0,3124018.0,0.0,0.0,0.0,1645.256,18015.0,18015.0,0.0,0.0,0.0,,,
2007-10-01,,,,144172.672,1616877.0,1616877.0,0.0,0.0,0.0,374.32800000000003,4198.0,4198.0,0.0,0.0,0.0,,,
2007-11-01,,,,165048.415,1770378.0,1770378.0,0.0,0.0,0.0,226.585,2430.0,2430.0,0.0,0.0,0.0,,,
2007-12-01,,,,203726.109,2301507.0,2301507.0,0.0,0.0,0.0,4640.8910000000005,52428.0,52428.0,0.0,0.0,0.0,,,
2008-01-01,,,,268055.479,2964351.0,2964351.0,0.0,0.0,0.0,3232.521,35748.0,35748.0,0.0,0.0,0.0,,,
2008-02-01,,,,277251.294,3076972.0,3076972.0,0.0,0.0,0.0,161.70600000000002,1795.0,1795.0,0.0,0.0,0.0,,,
2008-03-01,,,,176945.09100000001,2079221.0,2079221.0,0.0,0.0,0.0,922.909,10845.0,10845.0,0.0,0.0,0.0,,,
