measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed
2001-01-01,126274.783,1310068.0,1512568.0,,,
2001-02-01,113892.473,1157387.0,1388637.0,,,
2001-03-01,124187.312,1253724.0,1492474.0,,,
2001-04-01,84996.691,858312.0,1064562.0,,,
2001-05-01,119719.881,1170969.0,1402219.0,,,
2001-06-01,122309.426,1185398.0,1416648.0,,,
2001-07-01,126377.247,1225699.0,1431949.0,,,
2001-08-01,125212.883,1214118.0,1395368.0,,,
2001-09-01,121719.792,1170354.0,1339104.0,,,
2001-10-01,126513.245,1253286.0,1440786.0,,,
2001-11-01,66122.82,1078734.0,1341234.0,,,
2001-12-01,125804.38,1294073.0,1412823.0,,,
2002-01-01,135611.0,1379929.0,1460424.0,0.0,0.0,0.0
2002-02-01,122322.0,1244270.0,1308624.0,0.0,0.0,0.0
2002-03-01,115943.0,1185510.0,1270296.0,94.0,964.0,1032.0
2002-04-01,96296.0,1170829.0,1248548.0,648.0,7880.0,8403.0
2002-05-01,135818.0,1359805.0,1448234.0,0.0,0.0,0.0
2002-06-01,121975.0,1225913.0,1312846.0,152.0,1526.0,1635.0
2002-07-01,135746.0,1375343.0,1462293.0,0.0,0.0,0.0
2002-08-01,135631.0,1380298.0,1463126.0,0.0,0.0,0.0
2002-09-01,131444.0,1323174.0,1411531.0,0.0,0.0,0.0
2002-10-01,135981.0,1376273.0,1465218.0,0.0,0.0,0.0
2002-11-01,126107.0,1303628.0,1392755.0,851.0,4654.0,4745.0
2002-12-01,135735.0,1394566.0,1478365.0,0.0,0.0,0.0
2003-01-01,139865.237,1380171.0,1464960.0,0.0,0.0,0.0
2003-02-01,126244.044,1250519.0,1351258.0,0.0,0.0,0.0
2003-03-01,107462.0,1167194.0,1257527.0,708.0,7690.0,8285.0
2003-04-01,120038.0,1162810.0,1250358.0,427.0,4134.0,4445.0
2003-05-01,139953.728,1433438.0,1512630.0,0.0,0.0,0.0
2003-06-01,138566.738,1374267.0,1451594.0,0.0,0.0,0.0
2003-07-01,138328.276,1363959.0,1441128.0,148.107,1460.0,1543.0
2003-08-01,140460.459,1383630.0,1461552.0,0.0,0.0,0.0
2003-09-01,135424.819,1348138.0,1426320.0,0.0,0.0,0.0
2003-10-01,138807.994,1385933.0,1466472.0,0.0,0.0,0.0
2003-11-01,116034.902,965934.0,1045233.0,1169.021,9732.0,10531.0
2003-12-01,139646.336,1422733.0,1515110.0,0.0,0.0,0.0
2004-01-01,140426.926,1298075.05,1543899.7,0.0,0.0,0.0
2004-02-01,145269.747,1342841.01,1396910.6,0.0,0.0,0.0
2004-03-01,120402.57783,1112974.47,1324784.82,189.17817,1748.72,2081.52
2004-04-01,121623.22457,1124257.85,1210911.57,518.53243,4793.2,5162.64
2004-05-01,139730.17,1291634.4,1406328.0,0.0,0.0,0.0
2004-06-01,118272.72072,1093286.54,1223950.0,568.76428,5257.53,5885.88
2004-07-01,139410.46701,1288679.13,1414776.0,79.37899,733.76,805.56
2004-08-01,138856.70461,1283560.28,1418568.0,3.4533899999999997,31.92,35.28
2004-09-01,119337.81722,1103132.05,1250088.0,594.44378,5494.91,6226.92
2004-10-01,151065.92735,1396419.6,1475300.0,4.21465,38.96,41.16
2004-11-01,114625.82039,1059575.41,1206696.0,427.29061,3949.78,4498.2
2004-12-01,134609.7914,1244302.76,1711550.0,3.6996,34.2,47.04
2005-01-01,143735.35598,1328657.44,1503400.0,6.74602,62.36,70.56
2005-02-01,125005.05934,1155518.77,1299456.0,8.48466,78.43,88.2
2005-03-01,130510.0832,1206405.98,1390152.0,299.19780000000003,2765.72,3186.96
2005-04-01,58973.02869,545133.47,673344.0,1150.98931,10639.49,13141.8
2005-05-01,135564.543,1253128.27,1454928.0,0.0,0.0,0.0
2005-06-01,135389.70894,1251512.15,1410288.0,46.288059999999994,427.88,482.16
2005-07-01,141235.46,1305548.96,1547280.0,0.0,0.0,0.0
2005-08-01,128000.836,1183211.06,1336848.0,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,42509.02186,392943.88,517368.0,583.61414,5394.8,7103.04
2005-11-01,118627.98285,1096570.51,1192752.0,508.78415,4703.09,5115.6
2005-12-01,139631.581,1290723.07,1488864.0,11.029,101.95,117.6
2006-01-01,106900.59681,988165.18,1138960.0,167.77319,1550.86,1787.52
2006-02-01,115465.08474,1067333.38,1280064.0,781.26626,7221.85,8661.24
2006-03-01,120279.54676,1111837.2,1331064.0,359.71524,3325.13,3980.76
2006-04-01,97401.55883,900358.2,1064664.0,335.13417,3097.91,3663.24
2006-05-01,133263.54956,1231858.41,1468525.0,356.97144,3299.76,3933.72
2006-06-01,133865.503,1237422.73,1416648.0,0.0,0.0,0.0
2006-07-01,138831.36002,1283326.0,1502825.0,2.71598,25.11,29.4
2006-08-01,138654.298,1281689.28,1459896.0,0.0,0.0,0.0
2006-09-01,114175.61981,1055413.86,1150248.0,470.42919,4348.54,4739.28
2006-10-01,119639.88998,1105924.34,1345800.0,515.92902,4769.13,5803.56
2006-11-01,130905.23793,1210058.71,1451496.0,3.7120699999999998,34.31,41.16
2006-12-01,139165.55186,1286415.19,1483512.0,3.86114,35.69,41.16
2007-01-01,128960.05,1192080.0,1403904.0,299.23,2764.0,3258.0
2007-02-01,122305.445,1130568.0,1357920.0,2.118,18.0,24.0
2007-03-01,66404.158,613824.0,793080.0,16.739,153.0,200.0
2007-04-01,54194.214,500952.0,665640.0,495.48600000000005,4581.0,6086.0
2007-05-01,133844.955,1237225.0,1412975.0,310.242,2869.0,3275.0
2007-06-01,134148.676,1240050.0,1419825.0,0.0,0.0,0.0
2007-07-01,124843.117,1154025.0,1391100.0,233.769,2164.0,2605.0
2007-08-01,132794.288,1227525.0,1472600.0,0.0,0.0,0.0
2007-09-01,128310.39,1186075.0,1385125.0,4.3580000000000005,41.0,47.0
2007-10-01,120955.944,1118100.0,1353250.0,352.129,3258.0,3940.0
2007-11-01,133968.5,1238376.0,1393032.0,2.262,24.0,24.0
2007-12-01,138836.101,1283376.0,1452480.0,4.496,41.0,47.0
2008-01-01,134089.0,1269213.0,1483684.0,0.0,0.0,0.0
2008-02-01,123737.0,1170752.0,1374558.0,0.0,0.0,0.0
2008-03-01,91794.82,885915.0,1079056.0,430.18,4152.0,5057.0
2008-04-01,110834.182,1051234.0,1227462.0,202.818,1924.0,2246.0
2008-05-01,136488.0,1284944.0,1458303.0,0.0,0.0,0.0
2008-06-01,127028.0,1197892.0,1329136.0,0.0,0.0,0.0
2008-07-01,136265.0,1281698.0,1447474.0,0.0,0.0,0.0
2008-08-01,135306.0,1275524.0,1452399.0,0.0,0.0,0.0
2008-09-01,130927.0,1234263.0,1413366.0,0.0,0.0,0.0
2008-10-01,134933.0,1247893.0,1440356.0,0.0,0.0,0.0
2008-11-01,131060.0,1235976.0,1397834.0,0.0,0.0,0.0
2008-12-01,134621.0,1273354.0,1429108.0,0.0,0.0,0.0
2009-01-01,131063.0,1240643.0,1414300.0,0.0,0.0,0.0
2009-02-01,116628.0,1104391.0,1246228.0,0.0,0.0,0.0
2009-03-01,77932.755,760236.0,909522.0,624.245,6090.0,7285.0
2009-04-01,113076.398,1072209.0,1270496.0,226.602,2149.0,2546.0
2009-05-01,135599.0,1277565.0,1450406.0,0.0,0.0,0.0
2009-06-01,119013.887,1125932.0,1310620.0,214.113,2026.0,2358.0
2009-07-01,135646.0,1277048.0,1463388.0,0.0,0.0,0.0
2009-08-01,128057.593,1210539.0,1390709.0,508.40700000000004,4806.0,5521.0
2009-09-01,130861.0,1234642.0,1431844.0,0.0,0.0,0.0
2009-10-01,135233.0,1276265.0,1467567.0,0.0,0.0,0.0
2009-11-01,110653.318,1084341.0,1253498.0,440.682,4318.0,4992.0
2009-12-01,124794.0,1185467.0,1376646.0,0.0,0.0,0.0
2010-01-01,132153.088,1251532.0,1444814.0,204.912,1941.0,2240.0
2010-02-01,87886.27100000001,843237.0,1009833.0,358.72900000000004,3442.0,4122.0
2010-03-01,104720.421,1000001.0,1235414.0,448.579,4284.0,5292.0
2010-04-01,119262.631,1131555.0,1337181.0,469.369,4453.0,5263.0
2010-05-01,113893.222,1077974.0,1283629.0,102.778,973.0,1158.0
2010-06-01,127298.0,1199184.0,1394318.0,0.0,0.0,0.0
2010-07-01,127466.0,1205693.0,1406513.0,0.0,0.0,0.0
2010-08-01,133639.0,1261325.0,1483170.0,0.0,0.0,0.0
2010-09-01,124250.911,1175016.0,1378813.0,170.089,1609.0,1887.0
2010-10-01,127353.772,1207123.0,1320133.0,27.228,258.0,282.0
2010-11-01,102832.928,979427.0,1178590.0,357.072,3401.0,4092.0
2010-12-01,87567.747,848807.0,1084615.0,521.253,5053.0,6456.0
2011-01-01,48027.163,478462.0,666513.0,361.837,3605.0,5022.0
