measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2003-01-01,,,,,,,,,,15174.0,255960.0,255960.0,16.0,276.0,276.0
2003-02-01,,,,,,,,,,8538.0,165348.0,165348.0,152.0,2944.0,2944.0
2003-03-01,,,,,,,,,,9743.0,175527.0,175527.0,73.0,1322.0,1322.0
2003-04-01,,,,,,,,,,14000.0,226557.0,226557.0,122.0,1977.0,1977.0
2003-05-01,,,,,,,,,,16827.0,262008.0,262008.0,76.0,1178.0,1178.0
2003-06-01,,,,,,,,,,14842.0,239274.0,239274.0,156.0,2516.0,2516.0
2003-07-01,,,,,,,,,,15617.0,256662.0,256662.0,45.0,733.0,733.0
2003-08-01,,,,,,,,,,14872.0,242406.0,242406.0,75.0,1217.0,1217.0
2003-09-01,,,,,,,,,,12065.0,205848.0,205848.0,317.0,5405.0,5405.0
2003-10-01,,,,,,,,,,12457.0,208980.0,208980.0,90.0,1502.0,1502.0
2003-11-01,,,,,,,,,,16012.0,248562.0,248562.0,46.0,722.0,722.0
2003-12-01,,,,,,,,,,15077.0,237708.0,237708.0,182.0,2863.0,2863.0
2004-01-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-02-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-03-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-04-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-05-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-06-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-07-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
2004-08-01,,,,,,,,,,13287.583,216340.0,216340.0,102.667,1671.0,1671.0
